247,357
284,357
321,355
346,355
368,354
384,351
396,349
407,346
415,345
422,342
431,339
438,336
445,332
450,328
457,322
463,315
469,306
474,294
477,279
477,259
470,230
451,195
428,174
405,163
385,158
365,158
345,163
317,177
284,201
253,229
229,256
206,279
188,301
176,318
169,336
169,352
169,364
175,375
182,384
195,396
215,410
243,425
277,439
309,447
338,447
366,442
397,427
426,407
448,386
462,371
473,347
481,318
483,292
483,274
476,261
462,255
438,248
409,248
369,256
324,271
273,292
221,322
176,354
138,385
116,405
106,416
101,431
102,447
110,462
124,477
149,490
180,496
218,499
257,493
294,481
331,459
356,429
378,403
391,383
395,369
395,356
392,344
382,331
371,321
358,317
338,315
316,315
292,316
260,322
231,330
190,345
163,357
146,366
133,374
128,381
124,386
123,389
123,393
131,397
145,403
171,407
201,409
225,409
246,406
264,403
276,400
291,395
298,388
302,383
305,374
306,364
306,357
304,349
300,340
293,333
282,326
264,323
236,321
202,322
174,328
156,337
143,346
130,356
124,365
119,372
116,381
116,385
117,395
124,400
133,406
148,413
166,420
192,425
206,425
220,423
231,417
248,409
259,399
269,384
277,367
281,353
280,341
279,334
276,331
272,329
265,324
252,323
236,323
216,324
200,328
177,334
161,339
146,347
138,354
135,358
134,360
133,363
133,369
136,374
139,379
147,387
161,393
180,397
196,400
212,401
224,401
235,396
244,393
251,388
257,381
261,370
263,359
263,349
263,341
261,336
256,331
251,328
246,324
235,323
225,323
209,324
193,324
179,328
162,333
151,340
144,345
139,349
137,353
134,359
134,364
139,374
148,382
155,388
170,394
186,397
202,399
217,401
229,400
239,397
244,395
250,389
252,386
254,380
254,373
254,367
254,361
252,357
248,354
243,350
237,349
230,346
222,346
213,345
203,345
191,345
182,348
172,351
165,357
161,360
158,364
155,369
153,375
153,380
153,383
153,389
155,396
161,400
166,405
175,411
188,418
197,421
207,421
211,421
216,419
221,415
228,408
233,399
236,390
239,376
239,362
239,352
237,345
232,340
227,337
223,335
217,334
209,334
199,334
189,336
180,342
169,348
163,357
156,368
152,377
152,385
152,393
155,398
162,406
170,413
181,421
195,428
206,431
214,432
221,432
229,429
240,423
246,417
251,413
259,402
261,395
263,391
263,385
262,380
261,375
259,372
254,368
247,366
241,363
232,360
218,361
201,364
189,368
178,376
173,380
170,385
168,389
167,392
167,396
168,401
173,405
185,415
196,423
215,433
230,443
244,448
258,449
268,449
279,447
286,443
291,438
297,430
300,424
301,419
301,413
301,411
301,406
298,400
294,393
289,387
278,380
263,371
245,368
223,366
205,369
184,376
165,384
152,392
145,401
138,407
134,411
130,416
129,419
128,424
128,428
132,433
136,440
147,450
162,458
180,463
200,465
218,464
231,460
242,453
251,447
260,440
268,432
272,425
275,422
278,415
279,410
279,407
279,401
276,394
271,389
265,383
249,375
228,368
194,366
169,366
136,367
121,370
113,372
98,378
89,383
84,387
79,392
76,395
76,397
75,399
75,401
76,403
80,407
