217,363
269,377
317,384
359,389
397,391
439,396
473,398
502,398
539,398
573,397
598,395
625,391
655,389
682,385
700,382
713,379
721,374
730,368
737,364
745,358
750,351
755,344
759,339
760,334
761,330
761,323
759,317
755,310
745,299
732,285
712,271
685,256
649,249
612,249
585,254
560,262
529,277
501,292
473,310
456,320
443,331
433,344
425,359
420,372
419,382
419,390
419,396
423,403
429,407
437,412
448,418
463,423
483,428
505,430
523,430
537,429
549,428
560,423
573,418
582,412
590,408
596,402
602,391
607,381
612,361
612,343
610,328
607,318
601,309
591,301
579,295
566,290
554,287
534,288
507,295
469,309
443,322
423,332
408,346
393,361
381,378
371,392
363,405
358,418
357,428
357,438
357,452
363,469
371,486
381,499
396,508
410,515
429,522
452,527
482,531
504,530
521,527
533,521
546,514
557,503
569,486
578,468
583,449
587,435
589,425
590,414
590,402
590,392
590,378
585,363
579,354
566,345
551,338
537,335
517,335
489,338
449,347
414,363
384,386
358,411
335,434
311,457
296,478
285,498
280,516
279,536
277,554
279,570
284,587
294,603
310,621
331,636
354,646
375,653
397,654
421,654
459,653
488,643
514,633
535,617
557,600
575,578
588,557
597,535
604,500
606,466
610,435
610,410
607,387
601,360
593,341
583,330
569,323
554,320
540,319
526,319
508,323
484,332
457,344
436,360
423,375
411,391
399,406
389,423
383,438
378,454
374,472
374,488
374,504
378,515
382,524
390,533
401,544
415,558
434,570
463,578
490,582
510,581
528,576
547,566
564,556
581,542
594,529
603,514
611,496
614,473
618,450
621,432
621,418
621,404
621,392
618,375
613,365
606,357
596,350
582,343
565,340
547,338
527,339
502,344
467,358
432,377
407,393
389,410
372,422
354,438
341,449
332,460
325,473
321,486
319,496
319,506
321,513
325,518
330,524
341,528
357,535
378,542
403,549
434,553
467,553
488,553
507,549
523,545
540,536
556,530
569,520
581,505
590,481
596,457
601,438
604,420
606,404
606,382
606,365
604,354
601,347
599,344
594,340
589,338
580,335
570,333
556,333
543,335
531,337
519,342
504,348
479,362
458,377
443,390
435,403
430,414
426,423
424,433
423,442
423,454
427,470
433,487
443,503
455,517
470,528
488,537
505,543
521,548
539,548
555,548
570,544
582,541
591,537
598,533
603,527
609,518
616,505
621,487
626,471
629,456
630,448
630,438
630,427
625,415
620,397
612,382
604,373
591,365
571,359
546,358
528,358
510,360
486,369
460,379
433,394
418,407
406,421
400,430
392,441
386,451
383,462
381,476
382,494
385,512
392,527
397,538
406,551
419,562
439,575
461,584
479,589
496,592
510,592
526,585
545,577
560,568
571,559
582,549
590,536
598,520
606,490
614,462
620,438
622,418
623,396
622,371
621,353
618,339
613,330
607,321
603,315
599,310
592,306
584,305
572,305
558,307
539,313
524,322
512,330
499,340
484,349
471,359
457,371
448,386
439,400
435,413
432,423
430,434
430,444
430,454
432,464
437,477
441,488
